COLEGIO_NAME,DONE
EOEP GENERAL EQUIPO GENERAL TETUAN-,0
EEI EL CARMEN,0
EEI LA ALMUDENA,0
EEI PARQUE DE HORTALEZA,0
CP INF-PRI ALFREDO DI STEFANO,0
CP INF-PRI CORTES DE CADIZ,0
CP INF-PRI DIONISIO RIDRUEJO,0
CP INF-PRI ESPERANZA,0
CP INF-PRI FILOSOFO SENECA,0
CP INF-PRI GARCILASO DE LA VEGA,0
CP INF-PRI HORTALEZA,0
CP INF-PRI JUAN ZARAGUETA,0
CP INF-PRI LUIS CERNUDA,0
CP INF-PRI MENDEZ NUNEZ,0
CP INF-PRI PABLO PICASSO,0
CP INF-PRI PINAR DEL REY,0
CP INF-PRI RAMON PEREZ DE AYALA,0
CP INF-PRI SAN MIGUEL,0
CP INF-PRI VIRGEN DEL CORTIJO,0
CP EE PRINCESA SOFIA,0
CEPA DULCE CHACON,0
CEPA HORTALEZA-MAR AMARILLO,0
CEPA PABLO GUZMAN,0
CET NORTE,0
IES ARTURO SORIA,0
IES CONDE DE ORGAZ,0
IES FRANCISCO TOMAS Y VALIENTE,0
IES GABRIEL GARCIA MARQUEZ,0
IES MANUEL FRAGA IRIBARNE,0
IES RAMON Y CAJAL,0
IES ROSA CHACEL,0
CP INF-PRI-SEC ADOLFO SUAREZ,0
EOEP ATEN-TEMPR EQUIPO ATENCION,0
EOEP GENERAL EQUIPO GENERAL,0
EEI CHAVALITOS,0
EEI LAS MARAVILLAS,0
EEI PUERTA DEL ANGEL,0
CP INF-PRI ALCALDE DE MOSTOLES,0
CP INF-PRI AMADEO VIVES,0
CP INF-PRI BOLIVIA,0
CP INF-PRI CIUDAD DE BADAJOZ,0
CP INF-PRI COSTA RICA,0
CP INF-PRI CUBA,0
CP INF-PRI ERMITA DEL SANTO,0
CP INF-PRI FRANCISCO ARRANZ,0
CP INF-PRI FRANCISCO DE GOYA,0
CP INF-PRI GONZALO FERNANDEZ DE,0
CP INF-PRI HERMANOS PINZON,0
CP INF-PRI HERNAN CORTES,0
CP INF-PRI JOAQUIN DICENTA,0
CP INF-PRI JOVELLANOS,0
CP INF-PRI LA DEHESA DEL PRINCIPE,0
CP INF-PRI LA LATINA,0
CP INF-PRI MANUEL BARTOLOME COSSIO,0
CP INF-PRI NUESTRA SEÑORA DEL LUCERO,0
CP INF-PRI PARQUE ALUCHE,0
CP INF-PRI REPUBLICA DEL URUGUAY,0
CP EE FRAY PEDRO PONCE DE LEON,0
CEPA ALUCHE,0
CEPA CID CAMPEADOR LAS AGUILAS -,0
UFIL CID CAMPEADOR,0
IES BLAS DE OTERO,0
IES EIJO Y GARAY,0
IES GARCIA MORATO,0
IES ITURRALDE,0
IES LEONARDO DA VINCI,0
IES MARIA DE MOLINA,0
IES MARIANO JOSE DE LARRA,0
IES PARQUE ALUCHE,0
